FNBP4 (23360),FNBP4
FNTA (2339),FNTA
FNTB (2342),FNTB
FOXD4 (2298),FOXD4
FTH1 (2495),FTH1
FTSJ3 (117246),FTSJ3
FXN (2395),FXN
GABPA (2551),GABPA
GABPB1 (2553),GABPB1
GAK (2580),GAK
GAPDH (2597),GAPDH
GAR1 (54433),GAR1
GARS1 (2617),GARS1
GART (2618),GART
GBF1 (8729),GBF1
GCSH (2653),GCSH
GEMIN2 (8487),GEMIN2
GEMIN4 (50628),GEMIN4
GEMIN5 (25929),GEMIN5
GEMIN6 (79833),GEMIN6
GEMIN7 (79760),GEMIN7
GEMIN8 (54960),GEMIN8
GET3 (439),GET3
GFER (2671),GFER
GFPT1 (2673),GFPT1
GGPS1 (9453),GGPS1
GGTLC2 (91227),GGTLC2
GINS1 (9837),GINS1
GINS2 (51659),GINS2
GINS3 (64785),GINS3
GINS4 (84296),GINS4
GLE1 (2733),GLE1
GMPPB (29925),GMPPB
GMPS (8833),GMPS
GNB1L (54584),GNB1L
GNL2 (29889),GNL2
GNL3 (26354),GNL3
GNL3L (54552),GNL3L
GOLGA6B (55889),GOLGA6B
GOLGA6D (653643),GOLGA6D
GOLGA6L6 (727832),GOLGA6L6
GOLGA8N (643699),GOLGA8N
GOLGA8R (101059918),GOLGA8R
GON4L (54856),GON4L
GOSR2 (9570),GOSR2
GOT2 (2806),GOT2
GPATCH1 (55094),GPATCH1
GPKOW (27238),GPKOW
GPN1 (11321),GPN1
GPN2 (54707),GPN2
GPN3 (51184),GPN3
GPR61 (83873),GPR61
GPS1 (2873),GPS1
GPX4 (2879),GPX4
GRAP (10750),GRAP
GRPEL1 (80273),GRPEL1
GRWD1 (83743),GRWD1
GSDMA (284110),GSDMA
GSG1L2 (644070),GSG1L2
GSPT1 (2935),GSPT1
GTF2A1 (2957),GTF2A1
GTF2A2 (2958),GTF2A2
GTF2B (2959),GTF2B
GTF2E1 (2960),GTF2E1
GTF2E2 (2961),GTF2E2
GTF2F1 (2962),GTF2F1
GTF2F2 (2963),GTF2F2
GTF2H1 (2965),GTF2H1
GTF2H3 (2967),GTF2H3
GTF2H4 (2968),GTF2H4
GTF3A (2971),GTF3A
GTF3C1 (2975),GTF3C1
GTF3C2 (2976),GTF3C2
GTF3C3 (9330),GTF3C3
GTF3C4 (9329),GTF3C4
GTF3C5 (9328),GTF3C5
GTPBP4 (23560),GTPBP4
GUK1 (2987),GUK1
H1-2 (3006),H1-2
H2AC11 (8969),H2AC11
H2AC12 (85235),H2AC12
H2AC15 (8330),H2AC15
H2AC16 (8332),H2AC16
H2AC17 (8336),H2AC17
H2AC20 (8338),H2AC20
H2AC25 (92815),H2AC25
H2AC4 (8335),H2AC4
H2AC6 (8334),H2AC6
H2AC7 (3013),H2AC7
H2AC8 (3012),H2AC8
H2AJ (55766),H2AJ
H2AX (3014),H2AX
H2AZ1 (3015),H2AZ1
H2BC11 (8970),H2BC11
H2BC12 (85236),H2BC12
H2BC13 (8340),H2BC13
H2BC15 (8341),H2BC15
H2BC21 (8349),H2BC21
H2BC4 (8347),H2BC4
H2BC5 (3017),H2BC5
H2BC6 (8344),H2BC6
H2BC8 (8339),H2BC8
H2BC9 (8345),H2BC9
H3-3A (3020),H3-3A
H3C4 (8351),H3C4
H3C8 (8355),H3C8
HAP1 (9001),HAP1
HAPLN2 (60484),HAPLN2
HARS1 (3035),HARS1
HAUS1 (115106),HAUS1
HAUS2 (55142),HAUS2
HAUS3 (79441),HAUS3
HAUS4 (54930),HAUS4
HAUS5 (23354),HAUS5
HAUS6 (54801),HAUS6
HAUS7 (55559),HAUS7
HAUS8 (93323),HAUS8
HCFC1 (3054),HCFC1
HDAC3 (8841),HDAC3
HEATR1 (55127),HEATR1
HEATR5A (25938),HEATR5A
HGS (9146),HGS
HIGD2A (192286),HIGD2A
HIGD2B (123346),HIGD2B
HINFP (25988),HINFP
HIRA (7290),HIRA
HJURP (55355),HJURP
HJV (148738),HJV
HMGA1 (3159),HMGA1
HMGCR (3156),HMGCR
HMGCS1 (3157),HMGCS1
HMGN2 (3151),HMGN2
HNRNPC (3183),HNRNPC
HNRNPH1 (3187),HNRNPH1
HNRNPK (3190),HNRNPK
HNRNPL (3191),HNRNPL
HNRNPM (4670),HNRNPM
HNRNPU (3192),HNRNPU
HRK (8739),HRK
HS6ST1 (9394),HS6ST1
HSCB (150274),HSCB
HSP90B1 (7184),HSP90B1
HSPA5 (3309),HSPA5
HSPA8 (3312),HSPA8
HSPA9 (3313),HSPA9
HSPD1 (3329),HSPD1
HSPE1 (3336),HSPE1
HTATSF1 (27336),HTATSF1
HUWE1 (10075),HUWE1
HYOU1 (10525),HYOU1
HYPK (25764),HYPK
IARS1 (3376),IARS1
IARS2 (55699),IARS2
ICE1 (23379),ICE1
IDH3A (3419),IDH3A
IFITM3 (10410),IFITM3
IGBP1 (3476),IGBP1
IK (3550),IK
ILF2 (3608),ILF2
ILF3 (3609),ILF3
IMMT (10989),IMMT
IMP3 (55272),IMP3
IMP4 (92856),IMP4
IMPDH2 (3615),IMPDH2
INCENP (3619),INCENP
INHBE (83729),INHBE
INO80 (54617),INO80
INO80B (83444),INO80B
INTS1 (26173),INTS1
INTS11 (54973),INTS11
INTS13 (55726),INTS13
INTS2 (57508),INTS2
INTS3 (65123),INTS3
INTS4 (92105),INTS4
INTS5 (80789),INTS5
INTS6 (26512),INTS6
INTS7 (25896),INTS7
INTS8 (55656),INTS8
INTS9 (55756),INTS9
IPO11 (51194),IPO11
IPO13 (9670),IPO13
IPO7 (10527),IPO7
IPO9 (55705),IPO9
ISCA2 (122961),ISCA2
ISCU (23479),ISCU
ISG20L2 (81875),ISG20L2
ISY1 (57461),ISY1
JMJD6 (23210),JMJD6
KANSL1 (284058),KANSL1
KANSL2 (54934),KANSL2
KANSL3 (55683),KANSL3
KARS1 (3735),KARS1
KAT5 (10524),KAT5
KAT7 (11143),KAT7
KAT8 (84148),KAT8
KCMF1 (56888),KCMF1
KCNJ9 (3765),KCNJ9
KDM2A (22992),KDM2A
KDM8 (79831),KDM8
KIAA1143 (57456),KIAA1143
KIF11 (3832),KIF11
KIF14 (9928),KIF14
KIF18A (81930),KIF18A
KIF18B (146909),KIF18B
KIF20A (10112),KIF20A
KIF23 (9493),KIF23
KIF4A (24137),KIF4A
KIFBP (26128),KIFBP
KIN (22944),KIN
KLC2 (64837),KLC2
KLHL11 (55175),KLHL11
KMT5A (387893),KMT5A
KMT5B (51111),KMT5B
KNL1 (57082),KNL1
KPNA2 (3838),KPNA2
KPNB1 (3837),KPNB1
KRI1 (65095),KRI1
KRR1 (11103),KRR1
KRT8 (3856),KRT8
KRTAP21-1 (337977),KRTAP21-1
KRTAP4-11 (653240),KRTAP4-11
KRTAP4-2 (85291),KRTAP4-2
KRTAP4-3 (85290),KRTAP4-3
KRTAP5-11 (440051),KRTAP5-11
KRTAP5-7 (440050),KRTAP5-7
KTI12 (112970),KTI12
LACTB (114294),LACTB
LAMTOR2 (28956),LAMTOR2
LAMTOR3 (8649),LAMTOR3
LAMTOR4 (389541),LAMTOR4
LARS1 (51520),LARS1
LAS1L (81887),LAS1L
LCE1F (353137),LCE1F
LCE2A (353139),LCE2A
LCE2C (353140),LCE2C
LCE3A (353142),LCE3A
LCE5A (254910),LCE5A
LDHA (3939),LDHA
LENG1 (79165),LENG1
LENG8 (114823),LENG8
LETM1 (3954),LETM1
LGALS9 (3965),LGALS9
LGALS9B (284194),LGALS9B
LIAS (11019),LIAS
LIG3 (3980),LIG3
LIN52 (91750),LIN52
LIN9 (286826),LIN9
LLPH (84298),LLPH
LMBR1L (55716),LMBR1L
LMNA (4000),LMNA
LOC112694756 (112694756),LOC112694756
LONP1 (9361),LONP1
LRPPRC (10128),LRPPRC
LRR1 (122769),LRR1
LSG1 (55341),LSG1
LSM10 (84967),LSM10
LSM11 (134353),LSM11
LSM14A (26065),LSM14A
LSM2 (57819),LSM2
LSM3 (27258),LSM3
LSM4 (25804),LSM4
LSM5 (23658),LSM5
LSM6 (11157),LSM6
LSM7 (51690),LSM7
LSM8 (51691),LSM8
LST1 (7940),LST1
LTB4R (1241),LTB4R
LTF (4057),LTF
LTO1 (220064),LTO1
LTV1 (84946),LTV1
LUC7L3 (51747),LUC7L3
LYRM4 (57128),LYRM4
LYSMD1 (388695),LYSMD1
MAD2L1 (4085),MAD2L1
MAD2L1BP (9587),MAD2L1BP
MAD2L2 (10459),MAD2L2
MAGOH (4116),MAGOH
MAK16 (84549),MAK16
MALL (7851),MALL
MAP4K5 (11183),MAP4K5
MARCHF9 (92979),MARCHF9
MARS1 (4141),MARS1
MARS2 (92935),MARS2
MASTL (84930),MASTL
MAT2A (4144),MAT2A
MAX (4149),MAX
MBTD1 (54799),MBTD1
MCL1 (4170),MCL1
MCM10 (55388),MCM10
MCM2 (4171),MCM2
MCM3 (4172),MCM3
MCM3AP (8888),MCM3AP
MCM4 (4173),MCM4
MCM5 (4174),MCM5
MCM6 (4175),MCM6
MCM7 (4176),MCM7
MCMBP (79892),MCMBP
MCRS1 (10445),MCRS1
MDM2 (4193),MDM2
MDN1 (23195),MDN1
MEAF6 (64769),MEAF6
MED10 (84246),MED10
MED11 (400569),MED11
MED14 (9282),MED14
MED17 (9440),MED17
MED18 (54797),MED18
MED20 (9477),MED20
MED21 (9412),MED21
MED22 (6837),MED22
MED26 (9441),MED26
MED27 (9442),MED27
MED28 (80306),MED28
MED29 (55588),MED29
MED30 (90390),MED30
MED31 (51003),MED31
MED4 (29079),MED4
MED6 (10001),MED6
MED7 (9443),MED7
MED8 (112950),MED8
MED9 (55090),MED9
MEPCE (56257),MEPCE
METAP1 (23173),METAP1
METAP2 (10988),METAP2
METTL14 (57721),METTL14
METTL15 (196074),METTL15
METTL16 (79066),METTL16
METTL17 (64745),METTL17
METTL3 (56339),METTL3
MFAP1 (4236),MFAP1
MFN2 (9927),MFN2
MILR1 (284021),MILR1
MINDY4B (646951),MINDY4B
MIS12 (79003),MIS12
MIS18A (54069),MIS18A
MIS18BP1 (55320),MIS18BP1
MMS19 (64210),MMS19
MMS22L (253714),MMS22L
MNAT1 (4331),MNAT1
MOB4 (25843),MOB4
MOCS3 (27304),MOCS3
MPHOSPH10 (10199),MPHOSPH10
MRGBP (55257),MRGBP
MRPL10 (124995),MRPL10
MRPL17 (63875),MRPL17
MRPL21 (219927),MRPL21
