index,epsilon,pvalue,gene,product
PRB3,0.3805676666666667,0.012840103867638295,PRB3,0.7198176585750489
PLAA,0.3164316666666667,0.00536414264686172,PLAA,0.7184579984205609
CABIN1,0.3417583333333333,0.007950332634413717,CABIN1,0.7175608206823717
LRRC41,0.30713966666666664,0.004823702365372208,LRRC41,0.7115257401353822
SOCS6,0.3221283333333334,0.006212197357883128,SOCS6,0.7108582314459964
CDT1,0.6668096666666666,0.08628177855569501,CDT1,0.7095394377150483
C17orf72,0.7998305,0.13025318923232015,C17orf72,0.7080192640316797
ZNF319_P1,0.39007766666666666,0.015321905074054412,ZNF319,0.7078689614354547
DSE_P2,0.3367083333333333,0.007950332634413717,DSE,0.7069577664448862
RTN4_ENST00000394609.2,0.3469796666666667,0.009186124519899874,RTN4,0.7067516658478789
MYOM2,0.5976585,0.06615684826387559,MYOM2,0.7048934916559184
ZNF81,0.3476943333333333,0.00955998034874646,ZNF81,0.7021836571786707
RHOV,0.3521418333333333,0.010242262285313287,RHOV,0.7006228378057283
RPS3_P2,0.3535283333333333,0.010728196135624144,RPS3,0.6962646115969678
OTUD7A_ENST00000307050.4,0.3627716666666667,0.012061740750016602,OTUD7A,0.6960100956893462
PTEN,0.32515000000000005,0.007391822719524588,PTEN,0.6929754359522543
C1QL2,0.4059505,0.019800066990297183,C1QL2,0.6914690211904558
SET,0.3575030000000001,0.011747587743518216,SET,0.6899991308042276
SLC30A8,0.38092166666666666,0.015465547858744284,SLC30A8,0.6897099841207973
CERKL_P2,0.29541333333333325,0.004662739808288239,CERKL,0.6887144797721637
TMX4,0.5264936666666667,0.049197887530991496,TMX4,0.6886819069233429
DNAJC28,0.3446916666666667,0.010111927672892698,DNAJC28,0.6877171094684956
NTC_2107,0.9995971666666664,0.2052749392283113,NTC,0.6873870537624956
SCGB2A2,0.5784204999999999,0.06482766653753459,SCGB2A2,0.6873021496152202
CNDP1,0.3396283333333333,0.009527382280180548,CNDP1,0.6863978307896467
SMAD2,0.3293063333333333,0.008275041799996687,SMAD2,0.6856914618403077
DUSP26,0.3482863333333333,0.010830906269435073,DUSP26,0.6844993914601035
C16orf71,0.6405571666666666,0.08621276742968574,C16orf71,0.6818272488831505
NTC_1421,0.4696610000000001,0.03623187338085961,NTC,0.6767388604997565
NTC_1054,0.4632441666666667,0.034907747612360686,NTC,0.674982963880878
PATE3,0.5796438333333332,0.06871328289472907,PATE3,0.6741021877065982
PHF8,0.31600100000000003,0.007391833672927939,PHF8,0.6734764404526112
SCAPER,0.3384443333333333,0.010242262285313287,SCAPER,0.6733702355516823
NTC_3571,0.6081371666666666,0.07820115958615012,NTC,0.6730781929533675
TNFRSF19_P2,0.4347763333333334,0.028363145836979124,TNFRSF19,0.6727057695968589
FAM120AOS,0.5795338333333333,0.06971403149215878,FAM120AOS,0.6703350794330621
TSPO2,0.3793803333333333,0.017227093293844992,TSPO2,0.6691464772226722
PRKCA,0.32969666666666664,0.009341717214305163,PRKCA,0.6691435463247284
PRG4,0.5494304999999999,0.061125159096238786,PRG4,0.6668877509095481
NTC_1496,0.3171616666666667,0.008070587410991214,NTC,0.663849452501805
C3orf80,0.4769271666666667,0.041099255488444376,C3orf80,0.6611002445057931
NTC_2482,1.0102571666666669,0.22199245094685605,NTC,0.6603665118364785
RASA1_P1,0.315443,0.008102840342356107,RASA1,0.6597057299513389
SHF_P1,0.5823838333333333,0.07383735554746829,SHF,0.6590976832220513
NTC_1804,0.312243,0.0077724340560938595,NTC,0.6586587962756552
NEK4,0.3606433333333333,0.014990158107839604,NEK4,0.6578833277845133
FAM179A_ENST00000379558.4,0.6390438333333334,0.09363904413672144,FAM179A,0.6572840794968178
PCGF2_P1,0.3002716666666667,0.006475737220843493,PCGF2,0.6572078346060722
KRT75,0.44253050000000005,0.032840119703702784,KRT75,0.6565361559788574
NFE2L2_P2,0.3083816666666667,0.0074791625113131656,NFE2L2,0.6556647647166735
NTC_830,0.8120238333333333,0.1561733282181977,NTC,0.6548104441125077
RP1L1,0.3293463333333333,0.01039686348212852,RP1L1,0.6531259424925044
MCTP2_ENST00000357742.4,0.6482636666666667,0.0986346534773475,MCTP2,0.652134109877538
BPTF,0.339071,0.012005457394416262,BPTF,0.6512269811370173
PGC_P2,0.30757500000000004,0.007633360607151152,PGC,0.6512236941673584
NHLH1,0.36145766666666657,0.01600480201643825,NHLH1,0.6490874942463772
NTC_904,0.4656038333333333,0.04047490560422118,NTC,0.6484996098924833
MFN1,0.2717918333333333,0.00411592201058678,MFN1,0.6483683502956151
RGS18,0.37664716666666653,0.01911978178897551,RGS18,0.6472745847434598
CDKN1B,0.3156933333333333,0.008918508808749937,CDKN1B,0.6470790733452443
WHSC1L1,0.8512563333333335,0.17399921599463308,WHSC1L1,0.6464889280257202
TTLL10_P2,0.4250638333333333,0.03025674879224147,TTLL10,0.6457475138795796
NTC_1658,0.8606004999999999,0.1778485231994673,NTC,0.6454071183906861
ZNF645,0.303555,0.0074791625113131656,ZNF645,0.6454025617181193
PCDHGB7,0.38677716666666667,0.02235023446224217,PCDHGB7,0.6384599987477121
CELA3A,0.3384216666666667,0.013030487899350171,CELA3A,0.6379381493321689
NTC_723,0.7860338333333333,0.15470537082539945,NTC,0.6370761843018873
RNF220_ENST00000443020.2,0.2937783333333333,0.006889926855545184,RNF220,0.6350857084874387
PCGF3,0.3155250000000001,0.009718793299940371,PCGF3,0.6349586146499736
NTC_3097,0.7230571666666666,0.13262004101886016,NTC,0.6344037363469527
KRTAP27-1_ENST00000382835.2,0.4097838333333333,0.028317662313976918,KRTAP27-1,0.6343218530137039
FAM217B_P1,0.4726371666666667,0.04584966569936482,FAM217B,0.6327022780879576
