gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
NAPA,-0.656609634,0.226,0.313,7.2E-32,2.1E-27,inb-vip
E4F1,-0.572709206,0.169,0.267,6.9E-32,2.1E-27,L5/6-CC
MEST,-0.533627957,0.305,0.415,6.9E-32,2.0E-27,L5/6
FMNL3,0.658887892,3.07E-01,2.22E-01,6.49E-32,1.93E-27,opc
ADGRB1,-0.548445162,0.375,0.485,6.4E-32,1.9E-27,L5/6
NECAP1,-0.55736896,0.219,0.308,6.4E-32,1.9E-27,inb-vip
INTS1,-0.618099559,0.225,0.317,6.2E-32,1.8E-27,inb-pv
AP5Z1,-0.508293199,0.232,0.338,5.9E-32,1.8E-27,L5/6-CC
AIFM3,-0.526350299,0.243,0.295,5.8E-32,1.7E-27,ast
RND1,-0.633158268,0.19,0.29,5.7E-32,1.7E-27,L5/6-CC
ARFGAP2,-0.547226026,0.218,0.31,5.6E-32,1.7E-27,inb-pv
PTS,-0.517301428,0.302,0.395,5.4E-32,1.6E-27,inb-vip
THYN1,-0.61850468,0.221,0.323,5.4E-32,1.6E-27,L5/6-CC
RNF187,-1.030371841,0.221,0.374,5.0E-32,1.5E-27,inb-sv2c
CYC1,-1.132264852,0.162,0.304,4.8E-32,1.4E-27,inb-sv2c
CD9,-0.663525754,0.18,2.64E-01,4.81E-32,1.43E-27,opc
ARHGDIA,-0.578399684,0.237,0.347,4.7E-32,1.4E-27,L5/6
CCZ1,-0.541775703,0.222,0.334,4.6E-32,1.4E-27,L5/6
ADGRB2,-0.557667779,0.185,0.276,4.4E-32,1.3E-27,inb-pv
ABHD8,-0.659579793,0.232,0.326,4.3E-32,1.3E-27,inb-pv
EVI5L,-0.600430851,0.271,0.38,4.1E-32,1.2E-27,L5/6
KRT222,-0.635632101,0.255,0.348,4.1E-32,1.2E-27,inb-pv
NDUFA5,-0.60598057,0.443,0.556,4.0E-32,1.2E-27,L5/6
SLC12A8,-0.52614272,0.328,0.44,3.9E-32,1.2E-27,L5/6
C1orf52,-0.669620907,0.281,0.393,3.6E-32,1.1E-27,L5/6
VSTM2L,-0.859709564,0.156,0.251,3.5E-32,1.1E-27,L5/6
EIF4A1,-0.585446107,0.314,0.426,3.5E-32,1.0E-27,L5/6
SEPTIN4,-0.652383072,0.207,0.292,3.4E-32,1.0E-27,inb-vip
AC117834.1,-0.509391158,0.344,0.456,3.2E-32,9.6E-28,L5/6-CC
AC002383.1,-0.51141742,0.206,0.31,3.2E-32,9.6E-28,L5/6-CC
MAMDC2,0.59249832,0.465,0.368,3.0E-32,9.0E-28,L5/6-CC
SDF2,-0.804078846,0.166,0.26,2.8E-32,8.3E-28,L5/6-CC
AGPAT1,-0.614494534,0.2,0.287,2.8E-32,8.3E-28,inb-vip
DUSP26,-0.756610656,0.17,0.257,2.7E-32,8.2E-28,inb-pv
TUBB3,-0.919127173,0.285,0.436,2.7E-32,8.0E-28,inb-sv2c
GTF2H2,-0.634586418,0.245,0.355,2.7E-32,8.0E-28,L5/6
ARHGAP10,0.659161966,0.419,0.344,2.6E-32,7.7E-28,endo
DDRGK1,-0.684317369,0.2,0.292,2.6E-32,7.6E-28,inb-pv
TECR,-0.560040025,0.266,0.35,2.6E-32,7.6E-28,endo
SLC29A1,-0.841961823,0.198,0.3,2.5E-32,7.4E-28,L5/6
CTSA,-0.575381756,0.265,0.36,2.4E-32,7.2E-28,inb-pv
CACNA2D3,1.014656028,0.395,0.32,2.4E-32,7.0E-28,endo
UBE2M,-0.633768507,0.228,0.337,2.3E-32,6.9E-28,L5/6
NDUFS6,-0.729082681,0.212,0.318,2.3E-32,6.7E-28,L5/6
FIBP,-0.82655741,0.173,0.271,2.2E-32,6.6E-28,L5/6
NUTF2,-0.743354679,0.173,0.27,2.1E-32,6.2E-28,L5/6-CC
TBCB,-0.708453855,0.238,0.346,2.1E-32,6.2E-28,L5/6
ARL6IP4,-0.874029515,0.313,0.471,2.1E-32,6.1E-28,inb-sv2c
CHMP4A,-0.804332064,0.181,0.28,2.0E-32,6.0E-28,L5/6
ITPR1,0.606931616,0.329,0.258,1.9E-32,5.8E-28,micro
SRSF9,-0.581130602,0.196,0.279,1.9E-32,5.6E-28,endo
LIN7B,-0.59641735,0.185,0.276,1.8E-32,5.3E-28,inb-pv
RPS5,-0.707215084,0.239,0.344,1.8E-32,5.2E-28,L5/6
ABO,-0.703184714,0.156,0.255,1.8E-32,5.2E-28,L5/6
CRISPLD2,0.632189789,3.51E-01,2.63E-01,1.66E-32,4.94E-28,opc
TIMM13,-1.232528627,0.136,0.28,1.6E-32,4.9E-28,inb-sv2c
LINC02755,-0.517490859,0.234,0.343,1.6E-32,4.9E-28,L5/6-CC
TMEM183A,-0.787067521,0.168,0.256,1.6E-32,4.7E-28,inb-pv
EDN1,-0.789187084,0.223,0.307,1.6E-32,4.7E-28,endo
C1QBP,-0.610059131,0.213,0.319,1.6E-32,4.6E-28,L5/6-CC
NDUFAF8,-0.519184986,0.185,0.28,1.5E-32,4.5E-28,inb-pv
CENPT,-0.705824643,0.19,0.278,1.4E-32,4.2E-28,inb-pv
DCTN2,-0.564147835,0.315,0.429,1.3E-32,4.0E-28,L5/6
FOXRED1,-0.575353807,0.213,0.303,1.2E-32,3.6E-28,inb-vip
C1orf216,-0.746513675,0.225,0.331,1.2E-32,3.5E-28,L5/6
TMEM70,-0.655888037,0.204,0.305,1.2E-32,3.5E-28,L5/6-CC
PPP1R7,-0.637215893,0.324,0.439,1.2E-32,3.5E-28,L5/6
SEC11C,-0.962336107,0.218,0.368,1.1E-32,3.4E-28,inb-sv2c
SNHG29,-0.606763011,0.325,0.425,1.1E-32,3.3E-28,inb-pv
SNHG6,-0.551258807,0.261,0.363,1.1E-32,3.2E-28,inb-pv
TIMM50,-0.654645768,0.185,0.284,1.0E-32,3.1E-28,L5/6-CC
APEX1,-0.743374123,0.192,0.281,1.0E-32,3.1E-28,inb-pv
LDHA,-1.02504636,0.243,0.396,1.0E-32,3.0E-28,inb-sv2c
CFL1,-0.784304097,0.449,0.591,9.8E-33,2.9E-28,inb-sv2c
MMP25-AS1,-0.653430486,0.173,0.272,9.6E-33,2.9E-28,L5/6-CC
CHMP2A,-0.583268532,0.172,0.255,9.5E-33,2.8E-28,endo
YBX1,-0.564343003,0.246,0.336,9.3E-33,2.8E-28,inb-vip
C1orf43,-0.777373115,0.248,0.354,8.9E-33,2.6E-28,L5/6
SLC4A3,-0.515867364,0.323,0.421,8.9E-33,2.6E-28,inb-pv
RASA1,0.52437389,0.442,0.378,8.7E-33,2.6E-28,micro
SELENOM,-0.703417,0.174,0.274,8.5E-33,2.5E-28,L5/6
TM7SF2,-0.970714837,0.259,0.414,8.4E-33,2.5E-28,inb-sv2c
HIST1H4C,-0.617734545,0.182,0.272,8.3E-33,2.5E-28,inb-vip
CRHR1,-0.540233535,0.218,0.326,8.1E-33,2.4E-28,L5/6-CC
INPP5D,-0.518733757,0.374,0.47,8.0E-33,2.4E-28,endo
CDK5RAP3,-0.645594815,0.236,0.328,7.3E-33,2.2E-28,inb-pv
PRRT3,-0.559675426,0.229,0.334,7.1E-33,2.1E-28,L5/6-CC
ADRB1,-0.670104805,0.184,0.285,6.9E-33,2.0E-28,L5/6-CC
RPL37,-0.64796283,0.489,0.59,6.8E-33,2.0E-28,L5/6
COX7A1,-0.608704919,0.199,0.303,6.6E-33,2.0E-28,L5/6-CC
RPL3,-0.652342007,0.491,0.624,6.6E-33,2.0E-28,inb-sv2c
MRPL15,-0.747356944,0.175,0.265,6.2E-33,1.8E-28,inb-pv
FLYWCH1,-0.60261713,0.295,0.392,6.0E-33,1.8E-28,inb-pv
TSHZ1,0.558702821,0.569,0.514,5.6E-33,1.7E-28,L5/6-CC
MRPL27,-0.627518591,0.176,0.267,5.6E-33,1.7E-28,inb-pv
STX1A,-0.668508838,0.205,0.293,5.2E-33,1.5E-28,inb-vip
NECTIN1,-0.526487556,0.308,0.418,5.1E-33,1.5E-28,L5/6-CC
ACOT8,-0.602896149,0.216,0.32,4.7E-33,1.4E-28,L5/6-CC
PTPRN,-0.512866336,0.436,0.543,4.7E-33,1.4E-28,L5/6
MOAP1,-0.955729103,0.331,0.483,4.6E-33,1.4E-28,inb-sv2c
HMOX2,-0.500914557,0.272,0.373,4.6E-33,1.4E-28,inb-pv
NEAT1,0.576237477,0.322,0.29,4.5E-33,1.3E-28,ext
TAC1,-1.348898577,0.173,0.263,4.5E-33,1.3E-28,inb-sst
ERLEC1,-0.653376879,0.322,0.42,4.4E-33,1.3E-28,inb-pv
E2F4,-0.648726755,0.193,0.297,4.2E-33,1.2E-28,L5/6-CC
CLEC14A,-0.713941155,0.246,0.329,4.1E-33,1.2E-28,endo
ATP6V1D,-0.502798502,1.66E-01,2.55E-01,3.99E-33,1.19E-28,opc
RWDD1,-0.552913012,0.301,0.414,3.9E-33,1.2E-28,L5/6-CC
RPSA,-0.576006778,0.392,0.501,3.9E-33,1.2E-28,L5/6
TMEM259,-0.500234858,0.378,0.494,3.6E-33,1.1E-28,L5/6
SLC25A42,-0.501132751,0.17,0.274,3.6E-33,1.1E-28,inb-sst
ARPC3,-0.644668901,0.322,0.433,3.6E-33,1.1E-28,L5/6
DRAP1,-0.506759628,0.235,0.322,3.5E-33,1.0E-28,endo
LINC02223,0.649590571,0.511,0.44,3.4E-33,1.0E-28,L5/6-CC
KLC2,-0.560923655,0.297,0.397,3.3E-33,9.8E-29,inb-pv
ZSCAN18,-0.615074546,0.232,0.328,3.2E-33,9.6E-29,inb-pv
ENTR1,-0.56387041,0.244,0.352,3.1E-33,9.1E-29,L5/6-CC
ALDH1A2,0.522325712,0.375,0.328,3.1E-33,9.1E-29,L4
NPAS1,-0.644381569,0.274,0.36,3.0E-33,8.9E-29,inb-vip
RGS11,-0.69094311,0.308,0.421,2.9E-33,8.7E-29,L5/6
MMP25-AS1,-0.654458763,0.193,0.286,2.8E-33,8.3E-29,inb-pv
ULK3,-0.6884265,0.239,0.324,2.7E-33,8.0E-29,inb-vip
LYST,0.530656593,0.336,0.275,2.6E-33,7.7E-29,ast
TMED4,-0.51712409,0.35,0.463,2.6E-33,7.6E-29,L5/6-CC
MCRIP2,-0.599375038,0.215,0.311,2.5E-33,7.5E-29,inb-pv
SELENOH,-0.82356116,0.307,0.472,2.5E-33,7.4E-29,inb-sv2c
CNPY2,-0.67187449,0.187,2.74E-01,2.42E-33,7.20E-29,opc
SRSF2,-0.583751158,0.196,2.86E-01,2.37E-33,7.04E-29,opc
NDUFS7,-0.60954582,0.193,0.282,2.4E-33,7.0E-29,inb-vip
FLYWCH2,-0.656719137,0.171,0.271,2.1E-33,6.3E-29,L5/6-CC
COPE,-0.614015054,0.193,0.281,2.1E-33,6.1E-29,inb-vip
DHPS,-0.520104868,0.255,0.367,2.0E-33,6.1E-29,L5/6-CC
PRDM1,0.508530704,0.484,0.394,1.9E-33,5.8E-29,inb-pv
ARFGAP2,-0.582387341,0.193,0.282,1.9E-33,5.7E-29,inb-vip
LAMTOR5,-0.633997398,0.191,0.287,1.9E-33,5.7E-29,inb-pv
SPINT2,-0.522529273,0.398,0.483,1.8E-33,5.3E-29,inb-vip
DAPK3,-0.565644993,0.266,0.378,1.8E-33,5.3E-29,L5/6-CC
MZT2A,-0.605526372,0.271,0.383,1.8E-33,5.2E-29,L5/6
HDAC10,-0.540000862,0.194,0.288,1.6E-33,4.8E-29,inb-pv
DLGAP1-AS5,0.617684532,0.408,0.32,1.6E-33,4.8E-29,inb-pv
ILK,-0.768050106,0.199,0.291,1.6E-33,4.7E-29,inb-pv
DENND1A,0.518804958,0.456,0.392,1.4E-33,4.3E-29,micro
RRAS,-0.670216639,0.213,0.296,1.4E-33,4.1E-29,endo
CAMKV,-0.706570742,0.48,0.614,1.3E-33,3.9E-29,inb-sv2c
NAP1L5,-0.562136114,0.229,0.339,1.2E-33,3.6E-29,L5/6-CC
GPR137,-0.579515644,0.184,0.286,1.2E-33,3.5E-29,L5/6-CC
SELENOO,-0.505597995,0.337,0.435,1.2E-33,3.5E-29,inb-pv
BCL7B,-0.57071609,0.177,0.277,1.0E-33,3.1E-29,L5/6-CC
PDPR,-0.511618978,0.293,0.405,1.0E-33,3.0E-29,L5/6-CC
LAMTOR4,-0.639390263,0.203,0.309,9.6E-34,2.8E-29,L5/6
NDUFAB1,-0.775264728,0.254,0.367,9.4E-34,2.8E-29,L5/6
PDAP1,-0.647269763,0.19,0.284,9.3E-34,2.8E-29,inb-pv
P4HTM,-0.524993205,0.423,0.534,9.3E-34,2.8E-29,L5/6
RNF187,-0.662840467,0.232,0.339,8.3E-34,2.5E-29,L5/6
FANCL,0.692947362,0.286,0.196,8.2E-34,2.5E-29,inb-pv
GAS2L1,-0.820248687,0.162,0.261,8.2E-34,2.4E-29,L5/6
B2M,-1.126015325,0.231,0.325,8.1E-34,2.4E-29,L5/6-CC
TIMM44,-0.64844662,0.205,0.299,8.0E-34,2.4E-29,inb-pv
RPL27,-0.577064876,0.249,0.345,7.9E-34,2.4E-29,inb-vip
VASH1,-0.641176779,0.215,0.323,7.8E-34,2.3E-29,L5/6
TXN,-0.682701702,0.255,0.366,7.6E-34,2.3E-29,L5/6
CGREF1,-0.753099323,0.177,0.267,7.5E-34,2.2E-29,inb-pv
SEMA6B,-0.732747632,0.254,0.365,7.4E-34,2.2E-29,L5/6
NDUFB8,-0.734932559,0.468,0.598,7.3E-34,2.2E-29,inb-sv2c
TMEM9B,-0.815445194,0.218,0.325,7.3E-34,2.2E-29,L5/6
PUF60,-0.593923307,0.188,0.29,7.0E-34,2.1E-29,L5/6-CC
UQCRFS1,-0.979318432,0.192,0.35,6.6E-34,2.0E-29,inb-sv2c
CUEDC2,-0.972330747,0.161,0.26,6.6E-34,2.0E-29,L5/6
SUMF2,-0.546893914,0.263,0.379,6.6E-34,1.9E-29,L5/6
GPAA1,-0.724313734,0.174,0.277,6.5E-34,1.9E-29,L5/6
TTYH3,-0.536548212,0.291,0.402,6.3E-34,1.9E-29,L5/6-CC
NEFM,-0.54964311,0.323,0.429,6.3E-34,1.9E-29,inb-pv
CDC37,-0.550674308,0.233,0.327,6.2E-34,1.8E-29,inb-vip
ACTR1B,-0.549019185,0.319,0.421,6.0E-34,1.8E-29,inb-pv
EMC7,-0.725121487,0.192,0.295,5.9E-34,1.7E-29,L5/6
CENPT,-0.648738282,0.181,0.268,5.7E-34,1.7E-29,inb-vip
UNC5A,-0.591462064,0.429,0.542,5.7E-34,1.7E-29,L5/6
NREP,-0.714998964,0.182,0.266,5.7E-34,1.7E-29,endo
CD46,-0.554293026,0.479,0.557,5.7E-34,1.7E-29,endo
MICAL1,-0.699015292,0.174,0.279,5.3E-34,1.6E-29,L5/6
NRSN2,-0.572145146,0.262,0.353,5.3E-34,1.6E-29,inb-vip
NDUFA8,-0.525280009,0.198,0.287,5.0E-34,1.5E-29,endo
HEPN1,-0.654492447,0.225,3.17E-01,4.79E-34,1.42E-29,opc
NT5C3B,-0.668794476,0.172,0.26,4.4E-34,1.3E-29,inb-vip
BTF3,-0.839668702,0.23,0.337,4.3E-34,1.3E-29,L5/6
VCP,-0.582392777,0.32,0.42,4.3E-34,1.3E-29,inb-pv
NDUFA3,-0.722752472,0.213,0.32,4.3E-34,1.3E-29,L5/6
PDCD6,-0.682903863,0.371,0.488,4.1E-34,1.2E-29,L5/6
ASAP1,0.665478031,0.322,0.25,4.1E-34,1.2E-29,micro
CAMK1,-0.59180364,0.311,0.424,3.8E-34,1.1E-29,L5/6
DPH6-DT,0.539812222,0.392,0.302,3.7E-34,1.1E-29,inb-pv
TBRG1,-0.507432184,0.279,0.377,3.7E-34,1.1E-29,inb-vip
PA2G4,-0.645713064,0.17,0.262,3.6E-34,1.1E-29,inb-pv
SIVA1,-0.695029388,0.201,0.304,3.6E-34,1.1E-29,L5/6-CC
CYTH4,-0.555043921,0.217,0.296,3.5E-34,1.0E-29,micro
TRAPPC5,-0.88929667,0.247,0.405,3.5E-34,1.0E-29,inb-sv2c
CARS,-0.537272366,0.321,0.422,3.5E-34,1.0E-29,inb-pv
TSPAN13,-0.515953658,0.444,0.55,3.3E-34,9.8E-30,L5/6
CBLN4,-1.283573841,0.264,0.41,3.2E-34,9.4E-30,inb-sv2c
AC104806.2,0.546757181,0.522,0.448,3.2E-34,9.4E-30,L5/6
LUZP2,-0.554118395,0.179,0.285,3.0E-34,8.9E-30,inb-sst
NUDCD2,-0.563335263,0.285,0.398,2.7E-34,8.1E-30,L5/6-CC
MXRA7,-0.610461156,0.278,0.378,2.6E-34,7.7E-30,inb-pv
EIF3K,-0.585650638,0.29,0.386,2.3E-34,6.8E-30,inb-vip
HAGHL,-0.88081053,0.163,0.261,2.3E-34,6.8E-30,L5/6
UQCR10,-0.683543657,0.312,0.431,2.3E-34,6.7E-30,L5/6
EID2B,-0.668744034,0.179,0.281,2.2E-34,6.7E-30,L5/6-CC
NUCB1,-0.681984991,0.23,0.326,2.2E-34,6.6E-30,inb-pv
YARS,-0.504152094,0.345,0.447,2.0E-34,6.0E-30,inb-pv
DOC2A,-0.648707821,0.271,0.384,1.9E-34,5.7E-30,L5/6
DALRD3,-0.66910322,0.169,0.263,1.8E-34,5.3E-30,inb-pv
PIGQ,-0.683771585,0.235,0.347,1.8E-34,5.3E-30,L5/6
ELOC,-0.604684894,0.229,0.327,1.8E-34,5.2E-30,inb-pv
HIST1H2AC,-0.865049634,0.187,0.259,1.7E-34,5.1E-30,micro
TMEM223,-0.815869012,0.179,0.278,1.7E-34,5.1E-30,L5/6-CC
FIGN,0.60089951,0.341,0.294,1.7E-34,5.1E-30,L4
CADM4,-0.802145365,0.157,0.253,1.6E-34,4.8E-30,L5/6-CC
RHOB,-0.553313156,0.205,0.312,1.6E-34,4.7E-30,L5/6-CC
CTDNEP1,-0.569715162,0.224,0.334,1.6E-34,4.7E-30,L5/6-CC
DPF1,-0.638505686,0.277,0.389,1.5E-34,4.5E-30,L5/6
TMED9,-0.751779882,0.196,0.299,1.5E-34,4.4E-30,L5/6-CC
GNG10,-0.548791678,0.263,0.376,1.4E-34,4.1E-30,L5/6-CC
ARL4C,-0.663929815,0.669,0.736,1.4E-34,4.1E-30,inb-sv2c
TMEM151A,-0.93242251,0.167,0.267,1.3E-34,4.0E-30,L5/6
LINC02254,0.715859518,0.508,0.438,1.3E-34,3.9E-30,L5/6-CC
CLTA,-0.526565035,0.411,0.512,1.3E-34,3.8E-30,inb-pv
LARP6,-0.61047155,0.217,0.326,1.2E-34,3.7E-30,L5/6-CC
NOP56,-0.661255185,0.27,0.368,1.2E-34,3.6E-30,inb-pv
CPEB2,0.716023254,0.367,2.81E-01,1.18E-34,3.51E-30,opc
CCDC39,0.567486578,0.28,0.226,1.2E-34,3.5E-30,L4
RPL14,-0.517520035,0.208,3.03E-01,1.03E-34,3.07E-30,opc
CENPV,-0.740761345,0.211,0.304,1.0E-34,3.0E-30,inb-pv
ZBTB48,-0.645151068,0.183,0.286,1.0E-34,3.0E-30,L5/6-CC
IRF9,-0.737401425,0.185,0.268,1.0E-34,3.0E-30,endo
NRSN2,-0.659174095,0.271,0.385,9.7E-35,2.9E-30,L5/6
PRDX1,-0.585406491,0.249,0.344,9.5E-35,2.8E-30,inb-vip
RPUSD3,-0.831877695,0.179,0.278,9.4E-35,2.8E-30,L5/6-CC
SYT12,-0.648164332,0.311,0.424,9.2E-35,2.7E-30,L5/6
GOT1,-0.580558098,0.422,0.54,9.2E-35,2.7E-30,L5/6
RPL34,-0.617554925,0.479,0.586,8.7E-35,2.6E-30,L5/6
B3GNT2,-0.639626816,0.175,0.28,8.7E-35,2.6E-30,L5/6-CC
FAU,-0.524395309,2.05E-01,3.02E-01,8.41E-35,2.50E-30,opc
RAB4B,-0.602451688,0.209,0.316,8.3E-35,2.5E-30,L5/6-CC
NUCB1,-0.558251498,0.154,0.256,8.1E-35,2.4E-30,inb-sst
ASB6,-0.729597099,0.171,0.271,7.9E-35,2.3E-30,L5/6-CC
RNASEK,-0.896083435,0.398,0.542,7.8E-35,2.3E-30,inb-sv2c
SIRT7,-0.605902362,0.229,0.338,7.6E-35,2.2E-30,L5/6-CC
SERF2,-0.582188374,0.166,2.57E-01,7.56E-35,2.25E-30,opc
RNH1,-0.665461109,0.186,0.276,7.5E-35,2.2E-30,inb-vip
CGREF1,-0.662240932,0.187,0.296,7.4E-35,2.2E-30,L5/6
RELL2,-0.642944108,0.254,0.361,7.2E-35,2.1E-30,L5/6-CC
DDN,-0.588879344,0.23,0.34,6.5E-35,1.9E-30,L5/6-CC
GUK1,-0.837394021,0.341,0.504,6.1E-35,1.8E-30,inb-sv2c
AP2S1,-0.541862381,0.196,0.285,6.0E-35,1.8E-30,endo
RGS12,-0.579918337,0.471,0.601,6.0E-35,1.8E-30,L5/6-CC
PTGES2,-0.702423594,0.207,0.317,6.0E-35,1.8E-30,L5/6
C1orf122,-0.637836974,0.229,0.339,5.9E-35,1.7E-30,L5/6
COL16A1,-0.674709221,0.205,0.318,5.1E-35,1.5E-30,L5/6
DPH7,-0.526831239,0.301,0.418,5.0E-35,1.5E-30,L5/6-CC
TNNI3K,0.589864846,0.454,0.366,4.9E-35,1.4E-30,L5/6
AC068587.4,0.637299152,0.631,0.485,4.8E-35,1.4E-30,inb-sv2c
TBCB,-0.661225993,0.204,0.294,4.7E-35,1.4E-30,inb-vip
NPIPB5,0.613582809,0.27,0.184,4.5E-35,1.3E-30,inb-vip
SBDS,-0.823793854,0.195,0.289,4.5E-35,1.3E-30,inb-pv
TRHDE,0.654984619,0.337,0.252,4.1E-35,1.2E-30,inb-vip
CAMKV,-0.545558337,0.466,0.577,4.1E-35,1.2E-30,L5/6
EI24,-0.557109623,0.211,0.31,4.0E-35,1.2E-30,inb-pv
ANO6,0.576625955,0.538,0.468,3.9E-35,1.1E-30,L5/6
TMEM38A,-0.521892702,0.361,0.466,3.8E-35,1.1E-30,inb-pv
ORMDL1,-0.634325679,0.332,0.422,3.7E-35,1.1E-30,inb-vip
BAIAP3,0.622074397,0.418,0.321,3.5E-35,1.1E-30,L5/6-CC
SERPINI1,-0.519261261,0.537,0.597,3.3E-35,9.9E-31,inb-vip
NDUFA12,-0.593583631,0.232,0.326,3.2E-35,9.5E-31,inb-vip
TRIR,-0.721488998,0.215,0.324,3.2E-35,9.5E-31,L5/6
PTS,-0.566634314,0.298,0.403,3.2E-35,9.5E-31,inb-pv
ARL6IP4,-0.615185525,0.315,0.432,3.0E-35,8.8E-31,L5/6
RPL10A,-0.661607761,0.18,2.71E-01,2.95E-35,8.77E-31,opc
GGA1,-0.630893804,0.243,0.341,2.7E-35,8.0E-31,inb-pv
OMG,-0.502133165,0.153,0.258,2.7E-35,7.9E-31,inb-sst
AUP1,-0.714337814,0.168,0.255,2.5E-35,7.6E-31,inb-vip
BOLA3,-0.597195465,0.261,0.366,2.4E-35,7.1E-31,inb-pv
SNX3,-0.525305227,0.361,0.466,2.3E-35,6.9E-31,inb-pv
NAGPA,-0.641104565,0.215,0.312,2.2E-35,6.5E-31,inb-pv
C3orf67-AS1,0.57001441,0.256,0.213,2.2E-35,6.5E-31,inb
CYB561D1,-0.715988847,0.203,0.309,2.0E-35,6.0E-31,L5/6-CC
RPS27A,-0.761800158,0.446,0.599,1.9E-35,5.7E-31,inb-sv2c
ATF6B,-0.686801041,0.315,0.43,1.9E-35,5.7E-31,L5/6
FSCN1,-0.600876959,0.197,0.294,1.9E-35,5.6E-31,inb-pv
UBC,-0.791798067,0.48,0.611,1.9E-35,5.5E-31,inb-sv2c
RCN2,-0.56332383,0.432,0.546,1.8E-35,5.5E-31,L5/6
ANKRD30B,-0.576119807,0.207,0.32,1.8E-35,5.3E-31,L5/6
SQLE,-0.667522991,0.184,0.293,1.8E-35,5.3E-31,L5/6
CCDC12,-0.544914247,0.297,0.416,1.7E-35,5.2E-31,L5/6-CC
SMIM19,-0.555915235,0.238,0.348,1.7E-35,4.9E-31,L5/6-CC
HIST1H4C,-0.983301518,0.156,0.257,1.6E-35,4.7E-31,L5/6
KDELR1,-0.717174818,0.213,0.319,1.6E-35,4.7E-31,L5/6-CC
MRPS21,-0.630310859,0.296,0.416,1.6E-35,4.7E-31,L5/6
TBC1D9B,-0.54168105,0.161,0.268,1.6E-35,4.6E-31,inb-sst
CYCS,-1.012783232,0.304,0.463,1.6E-35,4.6E-31,inb-sv2c
ATXN7L3B,-0.73803009,0.235,0.336,1.6E-35,4.6E-31,inb-pv
CHMP5,-0.508702162,0.292,0.41,1.5E-35,4.6E-31,L5/6-CC
HERPUD1,-0.537709924,0.352,0.471,1.5E-35,4.5E-31,L5/6-CC
HMGCS1,-0.622273857,0.281,0.375,1.5E-35,4.5E-31,inb-vip
PNMA8B,-0.591633576,0.256,0.36,1.5E-35,4.5E-31,inb-pv
MYDGF,-0.694829112,0.188,0.295,1.4E-35,4.3E-31,L5/6-CC
CTSF,-0.566031889,0.29,0.405,1.4E-35,4.0E-31,L5/6
C4orf3,-0.735651198,0.229,0.33,1.3E-35,4.0E-31,inb-pv
ENDOV,-0.547376657,0.256,0.367,1.3E-35,3.9E-31,L5/6-CC
BID,-0.56244337,0.224,0.338,1.3E-35,3.8E-31,L5/6-CC
PICK1,-0.54646192,0.245,0.345,1.3E-35,3.8E-31,inb-pv
OGFR,-0.60671779,0.314,0.434,1.2E-35,3.6E-31,L5/6
AC107223.1,-0.556654871,2.74E-01,3.75E-01,1.21E-35,3.61E-31,opc
SLC4A3,-0.581348438,0.272,0.365,1.2E-35,3.6E-31,inb-vip
EIF5A,-0.757183067,0.182,0.284,1.2E-35,3.5E-31,L5/6-CC
ERP29,-1.015053147,0.227,0.392,1.1E-35,3.2E-31,inb-sv2c
GTF3A,-0.584267652,0.307,0.412,1.0E-35,3.1E-31,inb-pv
PET100,-0.665184803,0.173,0.269,1.0E-35,3.1E-31,inb-pv
CCS,-0.631762349,0.223,0.325,1.0E-35,3.0E-31,inb-pv
GSK3A,-0.790593224,0.171,0.261,9.9E-36,2.9E-31,inb-pv
TRABD,-0.662827411,0.189,0.286,9.6E-36,2.9E-31,inb-pv
LAMB2,-0.60348305,0.257,0.345,9.6E-36,2.8E-31,endo
IGSF8,-0.53135759,0.373,0.474,9.3E-36,2.8E-31,inb-pv
TUBB4A,-0.540239079,0.308,0.429,8.7E-36,2.6E-31,L5/6
MVD,-0.695433175,0.207,0.299,8.7E-36,2.6E-31,inb-vip
SCN9A,0.674440584,3.97E-01,3.08E-01,7.94E-36,2.36E-31,opc
DPP7,-0.551338796,0.335,0.426,7.9E-36,2.3E-31,inb-vip
FBXL15,-0.779690332,0.182,0.288,7.4E-36,2.2E-31,L5/6
MRPL18,-0.58557222,0.213,0.323,7.4E-36,2.2E-31,L5/6-CC
LAMA3,0.508062133,0.487,0.399,7.3E-36,2.2E-31,inb-vip
SCG5,-0.815167019,0.582,0.673,7.1E-36,2.1E-31,inb-sv2c
NDUFS6,-0.703436921,0.175,0.268,6.6E-36,2.0E-31,inb-vip
RPL7,-0.555486705,0.359,0.48,6.3E-36,1.9E-31,L5/6-CC
MRPS26,-0.554100203,0.203,0.298,6.2E-36,1.9E-31,inb-vip
MRPS15,-0.749427274,0.179,0.281,5.7E-36,1.7E-31,L5/6-CC
MSMO1,-0.735372319,0.246,0.36,5.6E-36,1.7E-31,L5/6
FBXL12,-0.546006299,0.243,0.357,5.5E-36,1.6E-31,L5/6-CC
RNF6,-0.503566594,0.22,0.259,5.2E-36,1.5E-31,L2/3
NT5C3B,-0.660724513,0.217,0.329,5.1E-36,1.5E-31,L5/6
WDR46,-0.58771434,0.224,0.337,4.8E-36,1.4E-31,L5/6-CC
