sgRNA,counts
Ube2j1_-_33031567.23-P1P2,7347
Nras_-_103058355.23-P1P2,7343
Folr1_-_101864100.23-P2,7338
Slc9a5_-_105348290.23-P1P2,7331
Clcc1_-_108654242.23-P1P2,7331
Atg2b_+_105685247.23-P1P2,7330
Bcl2l1_-_152830428.23-P1,7327
Wnt7b_-_85581849.23-P1,7326
Tspo_-_83563611.23-P1P2,7325
Vdac1_+_52361144.23-P1P2,7324
Mfsd8_+_40846786.23-P1P2,7316
Abcd1_-_73716806.23-P1P2,7315
Ntf3_-_126164915.23-P1,7313
Tcerg1_-_42511516.23-P1P2,7312
Cacna1c_+_118757929.23-ENSMUST00000112825.2,7311
Chchd2_+_129887432.23-P1P2,7310
Nars2_+_96951601.23-P1P2,7309
Uchl1_+_66676254.23-P1P2,7309
H2-T24_-_36020519.23-P1P2,7303
Tnfrsf21_-_43016612.23-P1P2,7303
Egfr_+_16752298.23-P1P2,7302
Ocln_+_100552578.23-P1P2,7301
Sptbn2_+_4711239.23-P1P2,7299
Mmp9_-_164948532.23-P1P2,7298
Dpp6_-_27049440.23-P2,7294
Derl1_+_57892300.23-P1P2,7292
Hpgds_+_65144689.23-P1P2,7292
Reps1_-_18055563.23-P1P2,7286
Ndufv2_-_66101470.23-P1P2,7286
Map3k11_-_5689784.23-P1,7279
Apbb1_-_105581267.23-P1P2,7278
Chrm3_-_9878957.23-ENSMUST00000063093.9,7268
Cryab_+_50753296.23-P1P2,7265
Ubqln2_-_153498221.23-P1P2,7263
Actr1a_-_46395501.23-P1P2,7262
Brca2_+_150522669.23-P1P2,7260
Trpm7_+_126876217.23-P1P2,7258
Ndufa10_+_92473706.23-P1P2,7258
Sod1_-_90220778.23-P1P2,7257
Thg1l_+_45955458.23-P1P2,7256
Uchl1_-_66676322.23-P1P2,7256
Galc_+_98259325.23-P1P2,7251
Elavl4_+_110287469.23-P1P2,7250
Dctn4_+_60526225.23-P1P2,7249
Sh3tc2_-_61953119.23-P1P2,7245
Ramp2_+_101246531.23-P1P2,7243
Exosc3_+_45320557.23-P1P2,7243
Sybu_+_44752177.23-P1P2,7243
Il17a_-_20730972.23-P1P2,7242
Sort1_-_108284121.23-P1P2,7242
Trp73_+_154139871.23-P1,7241
Zfyve26_+_79296213.23-P1P2,7241
Tppp3_+_105471363.23-P1P2,7241
Cyp2d22_-_82380141.23-P1P2,7241
Dyrk1a_+_94569759.23-P1P2,7240
Il12a_+_68691437.23-P1P2,7240
Casp8_-_58795419.23-P1P2,7238
Sirt3_+_140881751.23-P1P2,7232
Gosr2_-_103697651.23-P1P2,7232
Ins1_+_52264519.23-P1P2,7231
Mutyh_-_116807796.23-P1P2,7231
Gdnf_-_7811044.23-P1P2,7230
Adrm1_-_180171657.23-P1P2,7229
Psmd14_+_61712065.23-P1P2,7226
Dst_+_34011580.23-P1P2,7223
Psmd14_-_61711943.23-P1P2,7222
Akt1_+_112674172.23-P1P2,7217
"H2-M10.4_-_36462296.23-ENSMUST00000057502.7,ENSMUST00000169950.1",7216
Fxn_-_24280539.23-P1P2,7214
Nos3_-_24364841.23-P1P2,7211
Ndufs2_+_171247051.23-P1,7211
Mmp14_+_54431640.23-P1P2,7210
Eif4g1_-_20672748.23-P1P2,7209
S100a10_+_93555158.23-P1P2,7201
Atxn7_+_14012743.23-P1P2,7199
Anxa5_-_36475589.23-P1P2,7198
Lep_-_29060224.23-P1P2,7196
Polg_-_79466169.23-P1P2,7195
Ins1_-_52264511.23-P1P2,7191
Mtpap_-_4375624.23-P1P2,7187
Gstm6_-_107943678.23-P1P2,7185
Coq2_-_100673994.23-P1P2,7183
Exoc2_+_30974049.23-P1P2,7181
Psmb2_+_126677702.23-P1P2,7181
Sptlc2_-_87388188.23-P1P2,7177
Gigyf2_+_87327086.23-P1P2,7176
Slc11a2_-_100424088.23-P2,7174
Sdhb_-_140961459.23-P1P2,7174
Bcl2l1_-_152831668.23-P2,7173
Plp1_+_136823090.23-P1P2,7170
Tyrobp_-_30413844.23-P1P2,7168
Ewsr1_+_5098995.23-P1P2,7168
Ndufb8_-_44555348.23-P1P2,7168
Ppif_+_25694446.23-P1P2,7165
Itgam_-_128062890.23-P1P2,7163
Plp1_-_136822989.23-P1P2,7163
Gcg_-_62483614.23-P1P2,7162
Dyrk1a_+_94569726.23-P1P2,7162
Plb1_-_32247466.23-P1P2,7160
non-targeting_01372,7158
Klc3_+_19399628.23-P1,7157
Rgs10_+_128418116.23-P1P2,7157
Atp5o_+_91931387.23-P1P2,7155
Traf2_-_25546867.23-P1P2,7151
Stmn1_-_134469819.23-P2,7150
Pnp2_-_50956209.23-P1P2,7148
Calm1_+_100199553.23-P1P2,7147
Tardbp_+_148626675.23-P1P2,7141
Mgrn1_-_4886300.23-P1P2,7140
Chl1_+_103511361.23-P1P2,7138
S100b_+_76253923.23-P1P2,7136
Psmd7_-_107588420.23-P1P2,7134
Hfe_-_23710734.23-P1P2,7130
Kcne3_-_100176702.23-P2,7130
Colec11_+_28623261.23-P1P2,7125
Vcp_-_43000462.23-P1P2,7121
Sirt4_+_115484313.23-P1P2,7118
Prickle1_+_93595878.23-P1,7117
Colec11_-_28623219.23-P1P2,7114
Ahsg_+_22892112.23-P1P2,7113
Gpx2_+_76795481.23-P1P2,7109
Sigmar1_-_41741295.23-P1P2,7107
Pon1_+_5193706.23-P1P2,7103
Map2k1_-_64253376.23-P1P2,7099
Tmx2_-_84678323.23-P1P2,7099
Dctn4_-_60526256.23-P1P2,7096
Angpt4_+_151911284.23-P1P2,7094
Coq2_-_100674242.23-P1P2,7093
Cox7a1_-_30184245.23-P1P2,7091
Bcl2_-_106714220.23-P1P2,7090
Mpv17_+_31154213.23-P1P2,7090
Arih1_+_59486639.23-P1P2,7089
Clcc1_-_108653984.23-P1P2,7089
Bcl2_+_106714185.23-P1P2,7088
Gria1_-_57011826.23-P1P2,7085
Clcn2_-_20717711.23-P2,7085
Atg14_+_47568179.23-P1P2,7083
Kdm1a_+_136602669.23-P1P2,7083
Il1a_+_129309925.23-P1P2,7082
Serpina1e_+_103958732.23-P2,7079
Pawr_+_108332174.23-P1P2,7078
Prps1l3_+_57230447.23-P1P2,7076
Cd40_+_165055673.23-P1P2,7075
Ddit3_-_127290901.23-P1P2,7073
Ndufb4_-_37654400.23-P1P2,7072
Kidins220_-_24974940.23-P1P2,7071
Cst10_-_149405401.23-P1P2,7069
Mapk10_+_103211231.23-P1P2,7068
Psmc6_-_45329868.23-P1P2,7066
Atxn7_+_14012674.23-P1P2,7065
Map1b_+_99516276.23-P1P2,7062
Ttpa_-_20008436.23-P1P2,7057
Anxa11_-_25842254.23-P1P2,7056
Pank1_-_34877852.23-P1P2,7055
Abhd12_-_150904666.23-P1P2,7054
Ncl_+_86359314.23-P1P2,7048
Zfp597_+_3884432.23-P1P2,7045
Sema6a_+_47368820.23-P1P2,7044
Lamp1_-_13159318.23-P1P2,7043
Tlr4_+_66827826.23-P1P2,7037
Slc12a6_+_112265636.23-P1P2,7036
Msx2_+_53472706.23-P1P2,7034
Pcyt2_-_120617882.23-P1P2,7033
2810006K23Rik_-_124328196.23-P1P2,7032
Clu_-_65969827.23-P2,7028
Chat_+_32460899.23-P1,7026
Ccdc88a_+_29374114.23-P1P2,7024
Synm_-_67759743.23-P1P2,7021
Ap5z1_-_142464076.23-P1P2,7020
Ube2l6_+_84798937.23-P1P2,7020
Calm4_-_3837937.23-ENSMUST00000042219.4,7019
Cx3cr1_-_120068216.23-P1P2,7017
Timm8a1_-_134541824.23-P1P2,7016
Psen2_+_180229952.23-P2,7013
Tecpr2_+_110889158.23-P1P2,7013
Acox1_-_116198724.23-P1P2,7012
Kras_+_145250232.23-P1P2,7012
Adcyap1_+_93199201.23-P1P2,7009
Pdxk_-_78464643.23-P1P2,7009
Dao_+_114003899.23-P1P2,7008
Aco2_+_81872537.23-P1P2,7005
Setx_+_29125161.23-P1P2,7005
Nos1_+_117841895.23-P1P2,7004
Eif4g1_+_20673027.23-P1P2,7003
Ambra1_-_91730389.23-P1P2,7002
Sdhb_-_140961396.23-P1P2,6999
Ccdc88a_+_29373669.23-P1P2,6997
Tgm2_-_158146313.23-P1P2,6997
Ptges_+_30903227.23-P1,6996
Sirt6_+_81627490.23-P1P2,6995
Ube2g2_-_77622371.23-P1P2,6993
Cox5a_+_57521340.23-P1P2,6990
Sgcg_+_61258363.23-P1P2,6989
Myoc_+_162639208.23-P1P2,6984
Pnpla6_-_3516918.23-P2,6983
Prickle1_+_93595872.23-P1,6981
Mmp9_-_164948267.23-P1P2,6979
Tmprss4_+_45203982.23-P1P2,6979
Wnt11_+_98839079.23-P2,6977
Casp12_-_5345686.23-P1P2,6977
Msra_+_64440856.23-P1P2,6975
"Dnah17_-_118129081.23-ENSMUST00000106308.3,ENSMUST00000084803.5",6971
Tuba1c_+_99029921.23-P1P2,6970
Vamp2_+_69088592.23-P1P2,6967
Xrcc1_+_24547225.23-P1P2,6966
Ppt2_+_34627369.23-P1P2,6961
Cryab_+_50753271.23-P1P2,6960
Tmed9_-_55593176.23-P1P2,6960
Tnfrsf21_+_43016577.23-P1P2,6957
Scarb2_-_92505479.23-P1P2,6955
Dkk4_+_22624081.23-P1P2,6955
Grin1_+_25319087.23-P1P2,6953
Srr_+_74925641.23-P1P2,6952
Grid2_+_63256046.23-P1P2,6951
Adora3_+_105871142.23-P1P2,6945
Sbf2_+_110614887.23-P1P2,6943
Lgi1_+_38265007.23-P1P2,6942
Ulk2_-_61855026.23-P1P2,6940
Cyp2d40_+_82763772.23-P1P2,6939
Slc5a6_+_31047984.23-P1P2,6938
Park7_+_150909840.23-P1,6936
Slc11a2_-_100424156.23-P2,6932
Kynu_-_43555398.23-P1P2,6931
Il17a_+_20730931.23-P1P2,6927
Arl6ip1_+_118129497.23-P1P2,6926
Tnfrsf21_-_43016606.23-P1P2,6926
Ubb_-_62551708.23-P1P2,6925
Cfdp1_-_111854293.23-P1P2,6925
Pnpla6_-_3515442.23-P1,6921
Klc3_+_19399890.23-P1,6920
Hmbs_+_44342211.23-P1,6919
Taf15_+_83473150.23-P1P2,6915
Wnt1_+_98790106.23-P1P2,6913
Vac14_+_110618668.23-P1P2,6913
Map2_-_66322065.23-P2,6913
Gpbp1_+_111489821.23-P1P2,6911
Fa2h_-_111393573.23-P1P2,6910
Traf2_+_25546860.23-P1P2,6909
Trp73_-_154096947.23-P2,6906
Il33_-_29925161.23-P1P2,6905
Tsn_+_118310999.23-P1P2,6903
Trim2_+_84220515.23-P1,6901
Ucp2_+_100493406.23-P1,6901
Csnk2a2_-_95488778.23-P1P2,6900
Tubb2b_-_34130341.23-P1P2,6900
Irs1_+_82291124.23-P1P2,6900
Hdac6_+_7947738.23-P1P2,6899
Hmbs_+_44342230.23-P1,6898
H2-M9_+_36642570.23-P1P2,6897
Ndufs2_-_171237547.23-P2,6896
Lamp1_+_13159267.23-P1P2,6893
