sgRNA,counts
Sgk3_-_9798153.23-P1,952
Notch1_+_26503800.23-P1P2,952
1110065P20Rik_-_124850331.23-P1P2,951
Zfp691_+_119174153.23-P1P2,951
Ubr5_-_38078783.23-P1P2,951
Gbe1_-_70314158.23-P1P2,950
Nf1_-_79339714.23-P1P2,950
C1qtnf2_-_43474341.23-P1P2,948
Depdc5_+_32863784.23-P1P2,948
Ccndbp1_-_121008458.23-P1P2,947
Vps72_-_95111063.23-P1P2,947
P2ry1_-_61002858.23-P1P2,947
2310011J03Rik_+_80320553.23-P1P2,947
Fbxo41_-_85502998.23-P1P2,946
Mrto4_-_139352548.23-P1P2,946
Acta1_-_123894736.23-P1P2,946
Stk35_-_129800512.23-P1P2,945
Nfrkb_+_31386240.23-P1P2,944
Amt_-_108296956.23-P1P2,944
Rac3_-_120721507.23-P1P2,944
Hist3h2a_+_58955132.23-P1P2,943
Trim17_+_58955132.23-P1P2,943
Zfp644_-_106696559.23-P1P2,943
Arx_+_93286800.23-P1P2,943
Gpr161_+_165302852.23-ENSMUST00000111450.1,942
Cxx1b_-_53643793.23-P1,941
Arid1b_+_4994347.23-P2,941
Etfdh_+_79628705.23-P1P2,941
Srprb_-_103202012.23-P1P2,941
Cxx1a_-_53643793.23-P1,941
Mtmr7_-_40634748.23-P1P2,941
Srp54a_+_55080408.23-P1P2,941
Cbr3_+_93683252.23-P1P2,941
2700097O09Rik_+_55080408.23-P1P2,941
Sdf2l1_+_17132322.23-P1P2,941
Trim65_-_116131009.23-P1P2,940
Nudt21_-_94037036.23-P1P2,940
Tnc_+_64046841.23-P1P2,939
Ydjc_-_17146985.23-P1P2,938
Nrxn1_+_91092693.23-P1P2,938
Cdc42ep2_-_5924724.23-P1P2,938
Bcl11a_-_24080748.23-P2,938
Gm3448_-_15009667.23-P2,938
Gm3448_-_15041035.23-P1,938
Fbrsl1_-_110448453.23-P1,937
Ccl7_+_82045781.23-P1P2,937
Prkaa1_-_5143957.23-P1P2,937
Zfp827_+_79028299.23-P1P2,936
D3Ertd751e_-_41742766.23-P1P2,936
Yod1_-_130717340.23-P1P2,935
Yme1l1_+_23156499.23-P1P2,935
Rbm6_+_107872729.23-P1P2,935
Cbr4_+_61487972.23-P1P2,935
Fads1_-_10183264.23-P1P2,934
Glis2_-_4594779.23-P1P2,934
Zfp217_+_170131079.23-P1P2,934
Ap1m1_+_72240155.23-P1P2,934
Creld2_+_88819730.23-P1P2,934
Pi4kb_-_94974977.23-P1P2,934
Ube2f_+_91250375.23-P1P2,934
Cdk16_+_20688507.23-P1P2,934
Ylpm1_+_84996362.23-P1P2,934
Epb4.1l3_+_69156818.23-P1P2,933
Tspan4_+_141475277.23-P1,933
Csad_-_102189012.23-P2,933
Polr2l_+_141475277.23-P1P2,933
Naa10_-_73921874.23-P1P2,932
Arhgap4_-_73921874.23-P1P2,932
D430019H16Rik_-_105453933.23-P1P2,932
C1qtnf6_-_78529638.23-P1P2,932
Cmpk2_+_26469235.23-P1P2,932
Mars_-_127311659.23-P1P2,931
Rbm14_-_4811561.23-P1P2,931
Bcl6_-_23988353.23-P1P2,931
Dmxl2_+_54501541.23-P1P2,931
Rbm4_-_4811561.23-P1P2,931
Iars2_-_185329348.23-P1P2,931
Pitpnm2_-_124187149.23-P2,930
Arhgef4_+_34750841.23-P2,930
Ccnd2_+_127150976.23-P1P2,929
Rbm14_+_4811524.23-P1P2,929
Slc14a1_+_78141938.23-P2,929
Gstm1_-_108017627.23-P1P2,929
Rbm4_+_4811524.23-P1P2,929
Lphn3_+_81019776.23-P1,929
Cd46_+_195092218.23-P1P2,929
Sirt6_+_81627530.23-P1P2,928
Traf3_+_111166439.23-P1P2,928
Ap1g2_-_55106339.23-P1P2,928
Stc2_+_31370064.23-P1P2,928
Stx18_+_38039312.23-P1P2,927
Rhebl1_-_98881277.23-P1P2,927
Slc38a6_-_73286930.23-P1P2,927
Pde6d_-_86582483.23-P1P2,927
Qars_+_108508068.23-P1P2,927
Myadm_-_3290654.23-P1P2,926
Mst1r_+_107906943.23-P1P2,926
Med15_-_17722909.23-P1P2,926
Armcx5_-_135742994.23-P1P2,925
Cdh24_-_54641287.23-P1P2,925
Slc11a2_-_100423018.23-P1,925
Gprasp1_-_135742994.23-P1,925
Slc38a4_-_97055918.23-P2,924
Ccdc152_+_3303501.23-P1P2,924
Col6a1_+_76725752.23-P1P2,924
Ddx3x_-_13281055.23-P1P2,924
Nfs1_-_156143972.23-P1P2,924
Bcl6b_+_70229556.23-P1P2,924
Rbm14_+_4811570.23-P1P2,924
Rbm4_+_4811570.23-P1P2,924
Cplx2_-_54371558.23-P1P2,924
Fbxo4_+_3979489.23-P1P2,924
Dact1_+_71309936.23-P1P2,924
Pld2_+_70540326.23-P1P2,923
Slc19a1_+_77033307.23-P1P2,923
Arhgef10l_+_140665799.23-P2,923
Amy1_+_113574707.23-P2,923
Ctgf_+_24595759.23-P1P2,923
Tns3_+_8664464.23-P1P2,923
Cdh5_-_104101706.23-P1P2,923
Tubgcp4_-_121171303.23-P1P2,922
Fancf_+_51862175.23-P1P2,922
Ubox5_-_130629930.23-P1P2,922
Sfrp2_+_83766347.23-P1P2,922
Fastkd5_-_130629930.23-P1P2,922
Ap2b1_-_83302956.23-P1P2,922
Gas2_+_51862175.23-P1P2,922
Dph5_-_115888172.23-P1P2,922
Cttn_+_144449775.23-P2,922
Med11_+_70451967.23-P1P2,921
Cbr3_+_93683233.23-P1P2,921
Tnfaip8l1_-_56162618.23-P1P2,921
Sik3_-_46012911.23-P1P2,920
Crim1_-_78200272.23-P1P2,920
Dcakd_+_103017044.23-P1,919
Sbf2_+_110614850.23-P1P2,919
Syngr2_-_117809889.23-P1P2,919
Ppp2r3a_+_101251656.23-ENSMUST00000075941.5,919
Afmid_-_117809889.23-P1,919
Ucp2_-_100493402.23-P1,919
G6pc3_+_102189885.23-P1P2,919
Ddx28_-_106011153.23-P1P2,919
Ccdc132_+_3498440.23-P1P2,918
Calu_+_29348156.23-P1P2,918
Dgka_-_128744024.23-P1P2,918
Cacnb1_-_98018306.23-P2,918
Acr_+_89568376.23-P1P2,918
Eml6_+_30025842.23-P1P2,917
Arhgef4_-_34750870.23-P2,917
Hyls1_-_35570039.23-P1P2,917
Mmgt2_-_62648861.23-P1P2,917
Mtmr7_+_40634717.23-P1P2,917
Cep164_+_45828615.23-P1P2,917
Lekr1_-_65666317.23-P1P2,916
Cln3_-_126583330.23-P1P2,916
Cd59a_-_104096293.23-P1P2,916
Lrp4_+_91457545.23-P1P2,916
Mbd5_-_49245811.23-ENSMUST00000112754.1,915
Metrn_-_25796951.23-P1P2,915
Oraov1_-_144915333.23-P1P2,915
Cct7_-_85452127.23-P1P2,915
